/tmp/RenderDoc/VoxPlace_2026.03.21_14.11.15_frame1322.rdc - Frame #1322

 EID  | Event                                                                             | Action #
----------------------------------------------------------------------------------------------------
729   | - Colour Pass #1 (1 Targets + Depth)                                              | 1-161 
4     |  \- glClear(Color = <0.600000, 0.700000, 0.900000, 1.000000>, Depth = <1.000000>) | 1     
19    |   - glDrawArrays(2562)                                                            | 2     
23    |   - glDrawArrays(2970)                                                            | 3     
27    |   - glDrawArrays(2538)                                                            | 4     
31    |   - glDrawArrays(2172)                                                            | 5     
35    |   - glDrawArrays(1974)                                                            | 6     
39    |   - glDrawArrays(2880)                                                            | 7     
43    |   - glDrawArrays(1890)                                                            | 8     
47    |   - glDrawArrays(2328)                                                            | 9     
51    |   - glDrawArrays(2964)                                                            | 10    
55    |   - glDrawArrays(1818)                                                            | 11    
59    |   - glDrawArrays(2280)                                                            | 12    
63    |   - glDrawArrays(1980)                                                            | 13    
67    |   - glDrawArrays(2094)                                                            | 14    
71    |   - glDrawArrays(2238)                                                            | 15    
75    |   - glDrawArrays(2904)                                                            | 16    
79    |   - glDrawArrays(2016)                                                            | 17    
83    |   - glDrawArrays(2136)                                                            | 18    
87    |   - glDrawArrays(2136)                                                            | 19    
91    |   - glDrawArrays(2448)                                                            | 20    
95    |   - glDrawArrays(2094)                                                            | 21    
99    |   - glDrawArrays(2970)                                                            | 22    
103   |   - glDrawArrays(2412)                                                            | 23    
107   |   - glDrawArrays(2652)                                                            | 24    
111   |   - glDrawArrays(2514)                                                            | 25    
115   |   - glDrawArrays(2028)                                                            | 26    
119   |   - glDrawArrays(2388)                                                            | 27    
123   |   - glDrawArrays(2298)                                                            | 28    
127   |   - glDrawArrays(2430)                                                            | 29    
131   |   - glDrawArrays(2274)                                                            | 30    
135   |   - glDrawArrays(2232)                                                            | 31    
139   |   - glDrawArrays(2646)                                                            | 32    
143   |   - glDrawArrays(2172)                                                            | 33    
147   |   - glDrawArrays(2040)                                                            | 34    
151   |   - glDrawArrays(2442)                                                            | 35    
